@relation classification
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {Good,Bad,}
@data
0.452681,0.213893,164.656503,0.241218,Good
0.452681,0.205971,209.562821,0.227817,Good
0.452681,0.249542,179.625275,0.281421,Good
0.452681,0.178244,209.562821,0.201015,Good
0.452681,0.202010,209.562821,0.227817,Good
0.452681,0.202010,209.562821,0.232284,Good
0.452681,0.205971,169.646094,0.232284,Good
0.452681,0.205971,209.562821,0.232284,Good
0.344900,0.196069,179.625275,0.201015,Good
0.452681,0.249542,209.562821,0.241218,Good
0.452681,0.249542,209.562821,0.281421,Good
0.452681,0.178244,179.625275,0.281421,Good
0.452681,0.196069,159.666912,0.214416,Good
0.452681,0.205971,169.646094,0.227817,Good
0.477830,0.196069,179.625275,0.221116,Good
0.452681,0.213893,209.562821,0.221116,Good
0.452681,0.190127,209.562821,0.201015,Good
0.355678,0.202010,209.562821,0.227817,Good
0.344900,0.190127,164.656503,0.232284,Good
0.452681,0.205971,209.562821,0.201015,Good
0.452681,0.178244,164.656503,0.281421,Good
0.452681,0.249542,209.562821,0.241218,Good
